A_EqualWeight_Q,B_Momentum6M,C_RiskParity
1.0,1.0,1.0
0.956091707270081,0.956091707270081,0.956091707270081
0.9703252168901696,0.9703252168901696,0.9703252168901696
0.9816587829602313,0.9816587829602313,0.9816587829602313
0.973872613735392,0.973872613735392,0.973872613735392
0.98305447280742,0.98305447280742,0.98305447280742
0.9586058133661512,0.9586058133661512,0.9586058133661512
0.9065920566082774,0.9065920566082774,0.9065920566082774
0.8403825520153452,0.8403825520153452,0.8403825520153452
0.894792271413284,0.894792271413284,0.894792271413284
0.9001173038911006,0.9001173038911006,0.9001173038911006
0.9001173038911006,0.9001173038911006,0.9001173038911006
0.9095111322098431,0.9095111322098431,0.9095111322098431
0.9334700375841355,0.9334700375841355,0.9334700375841355
0.94952812141283,0.94952812141283,0.94952812141283
0.9445507207932489,0.9445507207932489,0.9445507207932489
0.9970279694305614,0.9970279694305614,0.9970279694305614
0.9843041392940133,0.9843041392940133,0.9843041392940133
0.9407011610355327,0.9407011610355327,0.9407011610355327
0.9363025773269867,0.9363025773269867,0.9363025773269867
0.9298566399307168,0.9298566399307168,0.9298566399307168
0.9472674958492013,0.9472674958492013,0.9472674958492013
0.9337720981532059,0.9337720981532059,0.9337720981532059
0.9333812634378119,0.9333812634378119,0.9333812634378119
0.9236984591661868,0.9236984591661868,0.9236984591661868
0.9221941203051918,0.9221941203051918,0.9221941203051918
0.9192097277760028,0.9192097277760028,0.9192097277760028
0.9202969286109064,0.9202969286109064,0.9202969286109064
0.9159370532295028,0.9159370532295028,0.9159370532295028
0.9231697418442394,0.9231697418442394,0.9231697418442394
0.9450739185136737,0.9450739185136737,0.9450739185136737
0.9450739185136737,0.9450739185136737,0.9450739185136737
0.9512588515347712,0.9512588515347712,0.9512588515347712
0.9427101612403964,0.9427101612403964,0.9427101612403964
0.9466669505336643,0.9466669505336643,0.9466669505336643
0.9513552209137509,0.9513552209137509,0.9513552209137509
0.9453655816426345,0.9453655816426345,0.9453655816426345
0.9455896108338631,0.9455896108338631,0.9455896108338631
0.9448549442052951,0.9448549442052951,0.9448549442052951
0.9441054270708851,0.9441054270708851,0.9441054270708851
0.9664409266614084,0.9664409266614084,0.9664409266614084
0.9948643957027675,0.9948643957027675,0.9948643957027675
1.0001577775623323,1.0001577775623323,1.0001577775623323
0.9875233148463086,0.9875233148463086,0.9875233148463086
0.9912886611492505,0.9912886611492505,0.9912886611492505
0.9734853972717535,0.9734853972717535,0.9734853972717535
0.9952385936739001,0.9952385936739001,0.9952385936739001
0.9906937040807876,0.9906937040807876,0.9906937040807876
0.9931627982129437,0.9931627982129437,0.9931627982129437
0.9950201328016065,0.9950201328016065,0.9950201328016065
0.9833053574305549,0.9833053574305549,0.9833053574305549
0.9935151514577957,0.9935151514577957,0.9935151514577957
0.9849390566086765,0.9849390566086765,0.9849390566086765
0.961735479883129,0.961735479883129,0.961735479883129
0.9658348367591679,0.9658348367591679,0.9658348367591679
0.9733594182942822,0.9733594182942822,0.9733594182942822
0.9809708208477352,0.9809708208477352,0.9809708208477352
0.9540133591274407,0.9540133591274407,0.9540133591274407
0.9505769705053241,0.9505769705053241,0.9505769705053241
0.9548989293686708,0.9548989293686708,0.9548989293686708
0.9525451927421217,0.9525451927421217,0.9525451927421217
0.9534426164075209,0.9534426164075209,0.9534426164075209
0.9461739149485051,0.9461739149485051,0.9475465807356491
0.9543780664402913,0.9543780664402913,0.9536200446156833
0.9620176850378457,0.9620176850378457,0.9557657874664726
0.9620176850378457,0.9620176850378457,0.9557657874664726
0.971251122888875,0.971251122888875,0.9646584121709622
0.9658553757452983,0.9658553757452983,0.9607114601289687
0.9547940859241916,0.9547940859241916,0.9578956195445584
0.9522485995434641,0.9522485995434641,0.9568105477364872
0.9476742426439415,0.9476742426439415,0.9619734822387552
0.928616327934976,0.928616327934976,0.9535529249557244
0.9198454710175936,0.9198454710175936,0.9503661077430755
0.9304129695449576,0.9304129695449576,0.9574496920167354
0.935817497768354,0.935817497768354,0.9573183227705037
0.9260081046340609,0.9260081046340609,0.9521483507643203
0.9288940216023145,0.9288940216023145,0.9539339837165585
0.9449770707289685,0.9449770707289685,0.9588911280297713
0.9408299661955655,0.9408299661955655,0.9554276976693851
0.9469672957570882,0.9469672957570882,0.9602715894391629
0.9363339351105868,0.9363339351105868,0.9541346270638144
0.9386560462746968,0.9386560462746968,0.9598063701483079
0.9376816944948109,0.9376816944948109,0.9638893512195655
0.9341273857443667,0.9341273857443667,0.9589774581457683
0.9397621268243516,0.9397621268243516,0.952384235683925
0.9366879777009676,0.9366879777009676,0.9547508252367383
0.9497287725885943,0.9497287725885943,0.9624738107410866
0.9431542103842409,0.9431542103842409,0.9564682679876451
0.9332550707330981,0.9332550707330981,0.9514311802695687
0.9421632505623796,0.9421632505623796,0.9539200044236077
0.9564605974253882,0.9564605974253882,0.9650320085470036
0.9514789811439274,0.9514789811439274,0.9605186348253821
0.9518701503357975,0.9518701503357975,0.9616137649453179
0.9513802553802361,0.9513802553802361,0.9660298171972906
0.9571419340076055,0.9571419340076055,0.9734512172438919
0.9593509396064389,0.9593509396064389,0.9753810251408195
0.9542919050395833,0.9542919050395833,0.9749200745341265
0.9481639596702925,0.9481639596702925,0.9692013921344695
0.9512815040470378,0.9512815040470378,0.9703801830718849
0.9529363720959002,0.9529363720959002,0.9712417264512269
0.9586844154648306,0.9586844154648306,0.9720094471428609
0.9586844154648306,0.9586844154648306,0.9720094471428609
0.9462796890796864,0.9462796890796864,0.9598791183297218
0.9494404472490695,0.9494404472490695,0.9646291587215713
